REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 cln_1.wav	 enh_1.wav	 SQValue=1.627	 1.627	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.651	 1.651	 0.000	 0	 16000	0.0160
 cln_1.wav	 enh_1.wav	 SQValue=1.928	 1.928	 0.000	 0	 16000	-0.0240
 cln_1.wav	 enh_1.wav	 SQValue=1.459	 1.459	 0.000	 0	 16000	-0.0200
 cln_1.wav	 enh_1.wav	 SQValue=1.612	 1.612	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.763	 1.763	 0.000	 0	 16000	-0.0080
 cln_1.wav	 enh_1.wav	 SQValue=1.309	 1.309	 0.000	 0	 16000	-0.0120
 cln_1.wav	 enh_1.wav	 SQValue=1.816	 1.816	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.427	 1.427	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.468	 1.468	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.395	 1.395	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.456	 1.456	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.471	 1.471	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.460	 1.460	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.690	 1.690	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.467	 1.467	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.520	 1.520	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.569	 1.569	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.415	 1.415	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.399	 1.399	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.187	 1.187	 0.000	 0	 16000	-0.0120
 cln_1.wav	 enh_1.wav	 SQValue=1.461	 1.461	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.310	 1.310	 0.000	 0	 16000	-0.0240
 cln_1.wav	 enh_1.wav	 SQValue=1.080	 1.080	 0.000	 0	 16000	-0.0320
 cln_1.wav	 enh_1.wav	 SQValue=1.330	 1.330	 0.000	 0	 16000	0.0000
 cln_1.wav	 enh_1.wav	 SQValue=1.465	 1.465	 0.000	 0	 16000	-0.0160
