DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 enh_1.wav	 1.723	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.487	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.602	 0.000	 0	 16000	-0.0120
 enh_1.wav	 1.660	 0.000	 0	 16000	0.0160
 enh_1.wav	 1.683	 0.000	 0	 16000	-0.0160
 enh_1.wav	 1.568	 0.000	 0	 16000	-0.0200
 enh_1.wav	 1.705	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.806	 0.000	 0	 16000	-0.0160
 enh_1.wav	 1.490	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.762	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.727	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.575	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.433	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.511	 0.000	 0	 16000	0.0160
 enh_1.wav	 1.431	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.606	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.770	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.805	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.619	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.768	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.607	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.426	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.507	 0.000	 0	 16000	-0.0120
 enh_1.wav	 1.560	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.551	 0.000	 0	 16000	-0.0240
 enh_1.wav	 1.505	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.719	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.701	 0.000	 0	 16000	-0.0240
 enh_1.wav	 1.186	 0.000	 0	 16000	-0.0200
 enh_1.wav	 1.653	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.547	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.236	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.621	 0.000	 0	 16000	-0.0120
 enh_1.wav	 1.750	 0.000	 0	 16000	0.0120
 enh_1.wav	 1.764	 0.000	 0	 16000	-0.0160
 enh_1.wav	 1.536	 0.000	 0	 16000	-0.0120
 enh_1.wav	 1.838	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.688	 0.000	 0	 16000	-0.0240
 enh_1.wav	 1.559	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.856	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.812	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.539	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.701	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.578	 0.000	 0	 16000	0.0160
 enh_1.wav	 1.738	 0.000	 0	 16000	-0.0160
 enh_1.wav	 1.344	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.622	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.851	 0.000	 0	 16000	-0.0200
 enh_1.wav	 1.683	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.829	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.684	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.655	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.531	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.584	 0.000	 0	 16000	0.0160
 enh_1.wav	 1.630	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.511	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.919	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.729	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.568	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.846	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.622	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.589	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.452	 0.000	 0	 16000	-0.0080
 enh_1.wav	 1.615	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.685	 0.000	 0	 16000	-0.0160
 enh_1.wav	 1.480	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.808	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.897	 0.000	 0	 16000	-0.0160
 enh_1.wav	 1.352	 0.000	 0	 16000	-0.0120
 enh_1.wav	 1.792	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.793	 0.000	 0	 16000	-0.0200
 enh_1.wav	 1.444	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.619	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.653	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.556	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.524	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.819	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.749	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.493	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.828	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.751	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.580	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.672	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.678	 0.000	 0	 16000	0.0160
 enh_1.wav	 1.757	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.616	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.825	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.828	 0.000	 0	 16000	-0.0120
 enh_1.wav	 1.583	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.876	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.757	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.605	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.586	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.588	 0.000	 0	 16000	0.0120
 enh_1.wav	 1.638	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.510	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.881	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.692	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.496	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.802	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.706	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.588	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.596	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.637	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.672	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.419	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.745	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.505	 0.000	 0	 16000	-0.0160
 enh_1.wav	 1.370	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.837	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.719	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.508	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.636	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.708	 0.000	 0	 16000	0.0160
 enh_1.wav	 1.749	 0.000	 0	 16000	-0.0080
 enh_1.wav	 1.622	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.887	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.901	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.606	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.929	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.771	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.640	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.699	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.674	 0.000	 0	 16000	0.0160
 enh_1.wav	 1.745	 0.000	 0	 16000	-0.0080
 enh_1.wav	 1.586	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.842	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.843	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.696	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.845	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.818	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.611	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.616	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.696	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.707	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.595	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.822	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.681	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.544	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.863	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.683	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.614	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.647	 0.000	 0	 16000	-0.0120
 enh_1.wav	 1.736	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.699	 0.000	 0	 16000	-0.0160
 enh_1.wav	 1.571	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.909	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.779	 0.000	 0	 16000	-0.0200
 enh_1.wav	 1.402	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.873	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.831	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.567	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.642	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.700	 0.000	 0	 16000	0.0160
 enh_1.wav	 1.735	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.611	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.843	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.864	 0.000	 0	 16000	-0.0200
 enh_1.wav	 1.692	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.821	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.811	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.651	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.492	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.557	 0.000	 0	 16000	0.0160
 enh_1.wav	 1.627	 0.000	 0	 16000	-0.0160
 enh_1.wav	 1.482	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.679	 0.000	 0	 16000	0.0080
 enh_1.wav	 1.705	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.459	 0.000	 0	 16000	-0.0120
 enh_1.wav	 1.747	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.609	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.434	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.454	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.402	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.447	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.342	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.733	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.511	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.460	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.620	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.339	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.431	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.410	 0.000	 0	 16000	-0.0080
 enh_1.wav	 1.453	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.385	 0.000	 0	 16000	-0.0240
 enh_1.wav	 1.627	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.627	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.651	 0.000	 0	 16000	0.0160
 enh_1.wav	 1.928	 0.000	 0	 16000	-0.0240
 enh_1.wav	 1.459	 0.000	 0	 16000	-0.0200
 enh_1.wav	 1.612	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.763	 0.000	 0	 16000	-0.0080
 enh_1.wav	 1.309	 0.000	 0	 16000	-0.0120
 enh_1.wav	 1.816	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.427	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.468	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.395	 0.000	 0	 16000	0.0000
 enh_1.wav	 1.456	 0.000	 0	 16000	0.0000
